GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,B01003_001E,B01003_001M,,,fips,county,state
0500000US01131,"Wilcox County, Alabama",1,Total population,10686,*****,AL,,01133,Winston County,AL
0500000US01133,"Winston County, Alabama",1,Total population,23650,*****,AL,,02013,Aleutians East Borough,AK
0500000US02013,"Aleutians East Borough, Alaska",1,Total population,3409,*****,#N/A,,02016,Aleutians West Census Area,AK
0500000US02016,"Aleutians West Census Area, Alaska",1,Total population,5251,*****,#N/A,,02020,Anchorage Municipality,AK
0500000US02020,"Anchorage Municipality, Alaska",1,Total population,292545,*****,#N/A,,02050,Bethel Census Area,AK
0500000US02050,"Bethel Census Area, Alaska",1,Total population,18514,*****,#N/A,,02060,Bristol Bay Borough,AK
0500000US02060,"Bristol Bay Borough, Alaska",1,Total population,849,128,#N/A,,02063,Chugach Census Area,AK
0500000US02063,"Chugach Census Area, Alaska",1,Total population,7015,*****,#N/A,,02066,Copper River Census Area,AK
0500000US02066,"Copper River Census Area, Alaska",1,Total population,2635,*****,#N/A,,02068,Denali Borough,AK
0500000US02068,"Denali Borough, Alaska",1,Total population,2187,433,#N/A,,02070,Dillingham Census Area,AK
0500000US02070,"Dillingham Census Area, Alaska",1,Total population,4899,*****,#N/A,,02090,Fairbanks North Star Borough,AK
0500000US02090,"Fairbanks North Star Borough, Alaska",1,Total population,97149,*****,#N/A,,02100,Haines Borough,AK
0500000US02100,"Haines Borough, Alaska",1,Total population,2098,*****,#N/A,,02105,Hoonah-Angoon Census Area,AK
0500000US02105,"Hoonah-Angoon Census Area, Alaska",1,Total population,2327,*****,#N/A,,02110,Juneau City and Borough,AK
0500000US02110,"Juneau City and Borough, Alaska",1,Total population,32240,*****,#N/A,,02122,Kenai Peninsula Borough,AK
0500000US02122,"Kenai Peninsula Borough, Alaska",1,Total population,58711,*****,#N/A,,02130,Ketchikan Gateway Borough,AK
0500000US02130,"Ketchikan Gateway Borough, Alaska",1,Total population,13939,*****,#N/A,,02150,Kodiak Island Borough,AK
0500000US02150,"Kodiak Island Borough, Alaska",1,Total population,13218,*****,#N/A,,02158,Kusilvak Census Area,AK
0500000US02158,"Kusilvak Census Area, Alaska",1,Total population,8354,*****,#N/A,,02164,Lake and Peninsula Borough,AK
0500000US02164,"Lake and Peninsula Borough, Alaska",1,Total population,986,433,#N/A,,02170,Matanuska-Susitna Borough,AK
0500000US02170,"Matanuska-Susitna Borough, Alaska",1,Total population,106807,*****,#N/A,,02180,Nome Census Area,AK
0500000US02180,"Nome Census Area, Alaska",1,Total population,10070,*****,#N/A,,02185,North Slope Borough,AK
0500000US02185,"North Slope Borough, Alaska",1,Total population,10865,*****,#N/A,,02188,Northwest Arctic Borough,AK
0500000US02188,"Northwest Arctic Borough, Alaska",1,Total population,7776,*****,#N/A,,02195,Petersburg Borough,AK
0500000US02195,"Petersburg Borough, Alaska",1,Total population,3368,*****,#N/A,,02198,Prince of Wales-Hyder Census Area,AK
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",1,Total population,5886,*****,#N/A,,02220,Sitka City and Borough,AK
0500000US02220,"Sitka City and Borough, Alaska",1,Total population,8518,*****,#N/A,,02230,Skagway Municipality,AK
0500000US02230,"Skagway Municipality, Alaska",1,Total population,1329,160,#N/A,,02240,Southeast Fairbanks Census Area,AK
0500000US02240,"Southeast Fairbanks Census Area, Alaska",1,Total population,6849,*****,#N/A,,02275,Wrangell City and Borough,AK
0500000US02275,"Wrangell City and Borough, Alaska",1,Total population,2162,*****,#N/A,,02282,Yakutat City and Borough,AK
0500000US02282,"Yakutat City and Borough, Alaska",1,Total population,562,113,#N/A,,02290,Yukon-Koyukuk Census Area,AK
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",1,Total population,5433,*****,#N/A,,04001,Apache County,AZ
0500000US04001,"Apache County, Arizona",1,Total population,66473,*****,AZ,,04003,Cochise County,AZ
0500000US04003,"Cochise County, Arizona",1,Total population,125092,*****,AZ,,04005,Coconino County,AZ
0500000US04005,"Coconino County, Arizona",1,Total population,144942,*****,AZ,,04007,Gila County,AZ
0500000US04007,"Gila County, Arizona",1,Total population,53211,*****,AZ,,04009,Graham County,AZ
0500000US04009,"Graham County, Arizona",1,Total population,38145,*****,AZ,,04011,Greenlee County,AZ
0500000US04011,"Greenlee County, Arizona",1,Total population,9542,*****,AZ,,04012,La Paz County,AZ
0500000US04012,"La Paz County, Arizona",1,Total population,16845,*****,AZ,,04013,Maricopa County,AZ
0500000US04013,"Maricopa County, Arizona",1,Total population,4367186,*****,AZ,,04015,Mohave County,AZ
0500000US04015,"Mohave County, Arizona",1,Total population,211274,*****,AZ,,04017,Navajo County,AZ
0500000US04017,"Navajo County, Arizona",1,Total population,106609,*****,AZ,,04019,Pima County,AZ
0500000US04019,"Pima County, Arizona",1,Total population,1035063,*****,AZ,,04021,Pinal County,AZ
0500000US04021,"Pinal County, Arizona",1,Total population,420625,*****,AZ,,04023,Santa Cruz County,AZ
0500000US04023,"Santa Cruz County, Arizona",1,Total population,47463,*****,AZ,,04025,Yavapai County,AZ
0500000US04025,"Yavapai County, Arizona",1,Total population,233789,*****,AZ,,04027,Yuma County,AZ
0500000US04027,"Yuma County, Arizona",1,Total population,202944,*****,AZ,,05001,Arkansas County,AR
0500000US05001,"Arkansas County, Arkansas",1,Total population,17273,*****,AR,,05003,Ashley County,AR
0500000US05003,"Ashley County, Arkansas",1,Total population,19362,*****,AR,,05005,Baxter County,AR
0500000US05005,"Baxter County, Arkansas",1,Total population,41476,*****,AR,,05007,Benton County,AR
0500000US05007,"Benton County, Arkansas",1,Total population,278774,*****,AR,,05009,Boone County,AR
0500000US05009,"Boone County, Arkansas",1,Total population,37445,*****,AR,,05011,Bradley County,AR
0500000US05011,"Bradley County, Arkansas",1,Total population,10597,*****,AR,,05013,Calhoun County,AR
0500000US05013,"Calhoun County, Arkansas",1,Total population,4811,*****,AR,,05015,Carroll County,AR
0500000US05015,"Carroll County, Arkansas",1,Total population,28154,*****,AR,,05017,Chicot County,AR
0500000US05017,"Chicot County, Arkansas",1,Total population,10405,*****,AR,,05019,Clark County,AR
0500000US05019,"Clark County, Arkansas",1,Total population,21569,*****,AR,,05021,Clay County,AR
0500000US05021,"Clay County, Arkansas",1,Total population,14661,*****,AR,,05023,Cleburne County,AR
0500000US05023,"Cleburne County, Arkansas",1,Total population,24848,*****,AR,,05025,Cleveland County,AR
0500000US05025,"Cleveland County, Arkansas",1,Total population,7632,*****,AR,,05027,Columbia County,AR
0500000US05027,"Columbia County, Arkansas",1,Total population,22947,*****,AR,,05029,Conway County,AR
0500000US05029,"Conway County, Arkansas",1,Total population,20687,*****,AR,,05031,Craighead County,AR
0500000US05031,"Craighead County, Arkansas",1,Total population,109875,*****,AR,,05033,Crawford County,AR
0500000US05033,"Crawford County, Arkansas",1,Total population,60483,*****,AR,,05035,Crittenden County,AR
0500000US05035,"Crittenden County, Arkansas",1,Total population,48338,*****,AR,,05037,Cross County,AR
0500000US05037,"Cross County, Arkansas",1,Total population,16935,*****,AR,,05039,Dallas County,AR
0500000US05039,"Dallas County, Arkansas",1,Total population,6645,*****,AR,,05041,Desha County,AR
0500000US05041,"Desha County, Arkansas",1,Total population,11530,*****,AR,,05043,Drew County,AR
0500000US05043,"Drew County, Arkansas",1,Total population,17511,*****,AR,,05045,Faulkner County,AR
0500000US05045,"Faulkner County, Arkansas",1,Total population,123191,*****,AR,,05047,Franklin County,AR
0500000US05047,"Franklin County, Arkansas",1,Total population,17159,*****,AR,,05049,Fulton County,AR
0500000US05049,"Fulton County, Arkansas",1,Total population,12072,*****,AR,,05051,Garland County,AR
0500000US05051,"Garland County, Arkansas",1,Total population,99694,*****,AR,,05053,Grant County,AR
0500000US05053,"Grant County, Arkansas",1,Total population,17912,*****,AR,,05055,Greene County,AR
0500000US05055,"Greene County, Arkansas",1,Total population,45665,*****,AR,,05057,Hempstead County,AR
0500000US05057,"Hempstead County, Arkansas",1,Total population,20352,*****,AR,,05059,Hot Spring County,AR
0500000US05059,"Hot Spring County, Arkansas",1,Total population,33096,*****,AR,,05061,Howard County,AR
0500000US05061,"Howard County, Arkansas",1,Total population,12894,*****,AR,,05063,Independence County,AR
0500000US05063,"Independence County, Arkansas",1,Total population,37796,*****,AR,,05065,Izard County,AR
0500000US05065,"Izard County, Arkansas",1,Total population,13653,*****,AR,,05067,Jackson County,AR
0500000US05067,"Jackson County, Arkansas",1,Total population,16878,*****,AR,,05069,Jefferson County,AR
0500000US05069,"Jefferson County, Arkansas",1,Total population,68199,*****,AR,,05071,Johnson County,AR
0500000US05071,"Johnson County, Arkansas",1,Total population,25853,*****,AR,,05073,Lafayette County,AR
0500000US05073,"Lafayette County, Arkansas",1,Total population,6373,*****,AR,,05075,Lawrence County,AR
0500000US05075,"Lawrence County, Arkansas",1,Total population,16292,*****,AR,,05077,Lee County,AR
0500000US05077,"Lee County, Arkansas",1,Total population,8832,*****,AR,,05079,Lincoln County,AR
0500000US05079,"Lincoln County, Arkansas",1,Total population,13092,*****,AR,,05081,Little River County,AR
0500000US05081,"Little River County, Arkansas",1,Total population,12104,*****,AR,,05083,Logan County,AR
